order_id,order_status,dispatch_status,datetime,
14959,Waiting Driver Response,LBS: Auto Dispatch Automation Ended,03-08-2024 13:04,
14959,Un-Assigned,"Group ID 123: {process_status"":true","success:""Auto Dispatch Success""}""",03-08-2024 13:04
14959,Waiting Driver Response,API: Request Received,03-08-2024 13:09,
14959,Un-Assigned,AD:ranking_dispatch_subcon_comp: Sub Contract Company - No Vehicles,03-08-2024 13:14,
14959,Un-Assigned,AD:broadcast_subcon: Vehicle Group does not have subcon driver,03-08-2024 13:14,
14959,Un-Assigned,LBS: Auto Dispatch Automation Started,03-08-2024 13:35,
14959,Waiting Driver Response,LBS: Auto Dispatch Automation Ended,03-08-2024 13:35,
14959,Un-Assigned,"Group ID 123: {process_status"":true","success:""Auto Dispatch Success""}""",03-08-2024 13:35
14959,Waiting Driver Response,API: Request Received,03-08-2024 13:40,
14959,Un-Assigned,AD:ranking_dispatch_subcon_comp: Sub Contract Company - No Vehicles,03-08-2024 13:45,
14959,Un-Assigned,AD:broadcast_subcon: Vehicle Group does not have subcon driver,03-08-2024 13:45,
14959,Un-Assigned,LBS: Auto Dispatch Automation Started,03-08-2024 14:05,
14959,Waiting Driver Response,LBS: Auto Dispatch Automation Ended,03-08-2024 14:05,
14959,Un-Assigned,"Group ID 123: {process_status"":true","success:""Auto Dispatch Success""}""",03-08-2024 14:05
14959,Waiting Driver Response,API: Request Received,03-08-2024 14:10,
14959,Un-Assigned,AD:ranking_dispatch_subcon_comp: Sub Contract Company - No Vehicles,03-08-2024 14:15,
14959,Un-Assigned,AD:broadcast_subcon: Vehicle Group does not have subcon driver,03-08-2024 14:15,
14959,Un-Assigned,LBS: Auto Dispatch Automation Started,03-08-2024 14:35,
14959,Waiting Driver Response,LBS: Auto Dispatch Automation Ended,03-08-2024 14:35,
14959,Un-Assigned,"Group ID 123: {process_status"":true","success:""Auto Dispatch Success""}""",03-08-2024 14:35
14959,Waiting Driver Response,API: Request Received,03-08-2024 14:40,
14959,Un-Assigned,AD:ranking_dispatch_subcon_comp: Sub Contract Company - No Vehicles,03-08-2024 14:45,
14959,Un-Assigned,AD:broadcast_subcon: Vehicle Group does not have subcon driver,03-08-2024 14:45,
14959,Un-Assigned,LBS: Auto Dispatch Automation Started,03-08-2024 15:06,
14959,Waiting Driver Response,LBS: Auto Dispatch Automation Ended,03-08-2024 15:06,
14959,Un-Assigned,"Group ID 123: {process_status"":true","success:""Auto Dispatch Success""}""",03-08-2024 15:06
14959,Waiting Driver Response,API: Request Received,03-08-2024 15:11,
14959,Un-Assigned,AD:ranking_dispatch_subcon_comp: Sub Contract Company - No Vehicles,03-08-2024 15:16,
14959,Un-Assigned,AD:broadcast_subcon: Vehicle Group does not have subcon driver,03-08-2024 15:16,
14959,Un-Assigned,LBS: Auto Dispatch Automation Started,03-08-2024 15:36,
14959,Waiting Driver Response,LBS: Auto Dispatch Automation Ended,03-08-2024 15:36,
14959,Un-Assigned,"Group ID 123: {process_status"":true","success:""Auto Dispatch Success""}""",03-08-2024 15:36
14959,Waiting Driver Response,API: Request Received,03-08-2024 15:41,
14959,Un-Assigned,AD:ranking_dispatch_subcon_comp: Sub Contract Company - No Vehicles,03-08-2024 15:46,
14959,Un-Assigned,AD:broadcast_subcon: Vehicle Group does not have subcon driver,03-08-2024 15:46,
14959,Un-Assigned,LBS: Auto Dispatch Automation Started,03-08-2024 16:07,
14959,Waiting Driver Response,LBS: Auto Dispatch Automation Ended,03-08-2024 16:07,
14959,Un-Assigned,"Group ID 123: {process_status"":true","success:""Auto Dispatch Success""}""",03-08-2024 16:07
14959,Waiting Driver Response,API: Request Received,03-08-2024 16:12,
14959,Un-Assigned,AD:ranking_dispatch_subcon_comp: Sub Contract Company - No Vehicles,03-08-2024 16:17,
14959,Un-Assigned,AD:broadcast_subcon: Vehicle Group does not have subcon driver,03-08-2024 16:17,
14959,Un-Assigned,LBS: Auto Dispatch Automation Started,03-08-2024 16:37,
14959,Waiting Driver Response,LBS: Auto Dispatch Automation Ended,03-08-2024 16:37,
14959,Un-Assigned,"Group ID 123: {process_status"":true","success:""Auto Dispatch Success""}""",03-08-2024 16:37
14959,Waiting Driver Response,API: Request Received,03-08-2024 16:42,
14959,Un-Assigned,AD:ranking_dispatch_subcon_comp: Sub Contract Company - No Vehicles,03-08-2024 16:47,
14959,Un-Assigned,AD:broadcast_subcon: Vehicle Group does not have subcon driver,03-08-2024 16:47,
14959,Un-Assigned,LBS: Auto Dispatch Automation Started,03-08-2024 21:00,
14959,Waiting Driver Response,LBS: Auto Dispatch Automation Ended,03-08-2024 21:00,
14959,Un-Assigned,"Group ID 123: {process_status"":true","success:""Auto Dispatch Success""}""",03-08-2024 21:00
14959,Waiting Driver Response,API: Request Received,03-08-2024 21:05,
14959,Un-Assigned,AD:ranking_dispatch_subcon_comp: Sub Contract Company - No Vehicles,03-08-2024 21:10,
14959,Un-Assigned,AD:broadcast_subcon: Vehicle Group does not have subcon driver,03-08-2024 21:10,
14959,Un-Assigned,LBS: Auto Dispatch Automation Started,03-08-2024 21:30,
14959,Waiting Driver Response,LBS: Auto Dispatch Automation Ended,03-08-2024 21:30,
14959,Un-Assigned,"Group ID 123: {process_status"":true","success:""Auto Dispatch Success""}""",03-08-2024 21:30
14959,Waiting Driver Response,API: Request Received,03-08-2024 21:35,
14959,Un-Assigned,AD:ranking_dispatch_subcon_comp: Sub Contract Company - No Vehicles,03-08-2024 21:40,
14959,Un-Assigned,AD:broadcast_subcon: Vehicle Group does not have subcon driver,03-08-2024 21:40,
14959,Un-Assigned,LBS: Auto Dispatch Automation Started,03-08-2024 22:00,
14959,Waiting Driver Response,LBS: Auto Dispatch Automation Ended,03-08-2024 22:00,
14959,Un-Assigned,"Group ID 123: {process_status"":true","success:""Auto Dispatch Success""}""",03-08-2024 22:00
14959,Waiting Driver Response,API: Request Received,03-08-2024 22:05,
14959,Un-Assigned,AD:ranking_dispatch_subcon_comp: Sub Contract Company - No Vehicles,03-08-2024 22:10,
14959,Un-Assigned,AD:broadcast_subcon: Vehicle Group does not have subcon driver,03-08-2024 22:10,
14959,Un-Assigned,LBS: Auto Dispatch Automation Started,03-08-2024 22:31,
14959,Waiting Driver Response,LBS: Auto Dispatch Automation Ended,03-08-2024 22:31,
14959,Un-Assigned,"Group ID 123: {process_status"":true","success:""Auto Dispatch Success""}""",03-08-2024 22:31
14959,Waiting Driver Response,API: Request Received,03-08-2024 22:36,
14959,Un-Assigned,AD:ranking_dispatch_subcon_comp: Sub Contract Company - No Vehicles,03-08-2024 22:41,
14959,Un-Assigned,AD:broadcast_subcon: Vehicle Group does not have subcon driver,03-08-2024 22:41,
14959,Un-Assigned,LBS: Auto Dispatch Automation Started,03-08-2024 23:01,
14959,Waiting Driver Response,LBS: Auto Dispatch Automation Ended,03-08-2024 23:01,
14959,Un-Assigned,"Group ID 123: {process_status"":true","success:""Auto Dispatch Success""}""",03-08-2024 23:01
14959,Waiting Driver Response,API: Request Received,03-08-2024 23:06,
14959,Un-Assigned,AD:ranking_dispatch_subcon_comp: Sub Contract Company - No Vehicles,03-08-2024 23:11,
14959,Un-Assigned,AD:broadcast_subcon: Vehicle Group does not have subcon driver,03-08-2024 23:11,
14959,Un-Assigned,LBS: Auto Dispatch Automation Started,03-08-2024 23:31,
14959,Waiting Driver Response,LBS: Auto Dispatch Automation Ended,03-08-2024 23:31,
14959,Un-Assigned,"Group ID 123: {process_status"":true","success:""Auto Dispatch Success""}""",03-08-2024 23:31
14959,Waiting Driver Response,API: Request Received,03-08-2024 23:36,
14959,Un-Assigned,AD:ranking_dispatch_subcon_comp: Sub Contract Company - No Vehicles,03-08-2024 23:41,
14959,Un-Assigned,AD:broadcast_subcon: Vehicle Group does not have subcon driver,03-08-2024 23:41,
14959,Un-Assigned,LBS: Auto Dispatch Automation Started,04-08-2024 00:02,
14959,Waiting Driver Response,LBS: Auto Dispatch Automation Ended,04-08-2024 00:02,
14959,Un-Assigned,"Group ID 123: {process_status"":true","success:""Auto Dispatch Success""}""",04-08-2024 00:02
14959,Waiting Driver Response,API: Request Received,04-08-2024 00:07,
14959,Un-Assigned,AD:ranking_dispatch_subcon_comp: Sub Contract Company - No Vehicles,04-08-2024 00:12,
14959,Un-Assigned,AD:broadcast_subcon: Vehicle Group does not have subcon driver,04-08-2024 00:12,
14959,Un-Assigned,LBS: Auto Dispatch Automation Started,04-08-2024 00:32,
14959,Waiting Driver Response,LBS: Auto Dispatch Automation Ended,04-08-2024 00:32,
